Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,980023,-,-,-,33.89,-83.9,-5,290,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2019,1,1,0,0,0,0,0,0,0,0,7,16.2,166.18,0,0.09,0.4,4,215,100,16.2,980,0.0000,0.0000,N/A
2019,1,1,0,30,0,0,0,0,0,0,7,16.2,168.95000000000002,0,0.09,0.30000000000000004,3.9000000000000004,234,100,16.2,980,0.0000,0.0000,N/A
2019,1,1,1,0,0,0,0,0,0,0,4,16.1,168.18,0,0.09,0.30000000000000004,3.9000000000000004,252,100,16.1,981,0.0000,0.0000,N/A
2019,1,1,1,30,0,0,0,0,0,0,3,15.9,164.4,0,0.09,0.30000000000000004,3.8000000000000003,273,100,15.9,981,0.0000,0.0000,N/A
2019,1,1,2,0,0,0,0,0,0,0,4,15.600000000000001,159.19,0,0.09,0.30000000000000004,3.7,293,100,15.600000000000001,981,0.0000,0.0000,N/A
2019,1,1,2,30,0,0,0,0,0,0,4,15.200000000000001,153.4,0,0.09,0.30000000000000004,3.6,301,100,15.200000000000001,982,0.0000,0.0000,N/A
2019,1,1,3,0,0,0,0,0,0,0,3,14.8,147.34,0,0.09,0.30000000000000004,3.5,310,100,14.8,982,0.0000,0.0000,N/A
2019,1,1,3,30,0,0,0,0,0,0,3,14.4,141.17000000000002,0,0.09,0.30000000000000004,3.4000000000000004,316,100,14.4,982,0.0000,0.0000,N/A
2019,1,1,4,0,0,0,0,0,0,0,3,14.100000000000001,134.96,0,0.09,0.30000000000000004,3.4000000000000004,322,100,14.100000000000001,982,0.0000,0.0000,N/A
2019,1,1,4,30,0,0,0,0,0,0,3,13.600000000000001,128.74,0,0.09,0.30000000000000004,3.3000000000000003,324,100,13.600000000000001,982,0.0000,0.0000,N/A
