Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,972722,-,-,-,32.53,-84.26,-5,188,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI
2019,1,1,0,0,0,0
2019,1,1,0,30,0,0
2019,1,1,1,0,0,0
2019,1,1,1,30,0,0
2019,1,1,2,0,0,0
2019,1,1,2,30,0,0
2019,1,1,3,0,0,0
2019,1,1,3,30,0,0
2019,1,1,4,0,0,0
2019,1,1,4,30,0,0
2019,1,1,5,0,0,0
2019,1,1,5,30,0,0
2019,1,1,6,0,0,0
2019,1,1,6,30,0,0
2019,1,1,7,0,0,0
2019,1,1,7,30,0,0
2019,1,1,8,0,10,36
2019,1,1,8,30,23,111
2019,1,1,9,0,57,195
2019,1,1,9,30,63,276
2019,1,1,10,0,59,349
2019,1,1,10,30,18,417
2019,1,1,11,0,114,472
2019,1,1,11,30,200,514
2019,1,1,12,0,234,542
2019,1,1,12,30,308,554
2019,1,1,13,0,247,549
2019,1,1,13,30,150,531
2019,1,1,14,0,77,497
2019,1,1,14,30,57,449
2019,1,1,15,0,69,388
2019,1,1,15,30,52,318
2019,1,1,16,0,48,239
2019,1,1,16,30,31,157
2019,1,1,17,0,7,78
2019,1,1,17,30,3,17
2019,1,1,18,0,0,0
2019,1,1,18,30,0,0
2019,1,1,19,0,0,0
2019,1,1,19,30,0,0
2019,1,1,20,0,0,0
2019,1,1,20,30,0,0
2019,1,1,21,0,0,0
2019,1,1,21,30,0,0
2019,1,1,22,0,0,0
2019,1,1,22,30,0,0
2019,1,1,23,0,0,0
2019,1,1,23,30,0,0
2019,1,2,0,0,0,0
2019,1,2,0,30,0,0
2019,1,2,1,0,0,0
2019,1,2,1,30,0,0
2019,1,2,2,0,0,0
2019,1,2,2,30,0,0
2019,1,2,3,0,0,0
2019,1,2,3,30,0,0
2019,1,2,4,0,0,0
2019,1,2,4,30,0,0
2019,1,2,5,0,0,0
2019,1,2,5,30,0,0
2019,1,2,6,0,0,0
2019,1,2,6,30,0,0
2019,1,2,7,0,0,0
2019,1,2,7,30,0,0
2019,1,2,8,0,3,33
2019,1,2,8,30,6,104
2019,1,2,9,0,26,188
2019,1,2,9,30,32,271
2019,1,2,10,0,41,348
2019,1,2,10,30,41,416
2019,1,2,11,0,77,472
2019,1,2,11,30,126,515
2019,1,2,12,0,147,544
2019,1,2,12,30,181,557
2019,1,2,13,0,116,554
2019,1,2,13,30,141,538
2019,1,2,14,0,138,507
2019,1,2,14,30,114,460
2019,1,2,15,0,68,401
2019,1,2,15,30,75,330
2019,1,2,16,0,27,251
2019,1,2,16,30,7,167
2019,1,2,17,0,5,86
2019,1,2,17,30,2,21
2019,1,2,18,0,0,0
2019,1,2,18,30,0,0
2019,1,2,19,0,0,0
2019,1,2,19,30,0,0
2019,1,2,20,0,0,0
2019,1,2,20,30,0,0
2019,1,2,21,0,0,0
2019,1,2,21,30,0,0
2019,1,2,22,0,0,0
2019,1,2,22,30,0,0
2019,1,2,23,0,0,0
2019,1,2,23,30,0,0
2019,1,3,0,0,0,0
2019,1,3,0,30,0,0
2019,1,3,1,0,0,0
2019,1,3,1,30,0,0
2019,1,3,2,0,0,0
2019,1,3,2,30,0,0
2019,1,3,3,0,0,0
2019,1,3,3,30,0,0
2019,1,3,4,0,0,0
2019,1,3,4,30,0,0
2019,1,3,5,0,0,0
2019,1,3,5,30,0,0
2019,1,3,6,0,0,0
2019,1,3,6,30,0,0
2019,1,3,7,0,0,0
2019,1,3,7,30,0,0
2019,1,3,8,0,8,36
2019,1,3,8,30,22,111
2019,1,3,9,0,36,197
2019,1,3,9,30,37,282
2019,1,3,10,0,91,360
2019,1,3,10,30,75,430
2019,1,3,11,0,69,487
2019,1,3,11,30,79,531
2019,1,3,12,0,79,560
2019,1,3,12,30,145,575
2019,1,3,13,0,147,573
2019,1,3,13,30,100,556
2019,1,3,14,0,136,523
2019,1,3,14,30,131,476
2019,1,3,15,0,84,415
2019,1,3,15,30,28,343
2019,1,3,16,0,31,262
2019,1,3,16,30,33,176
2019,1,3,17,0,19,91
2019,1,3,17,30,7,23
2019,1,3,18,0,0,0
2019,1,3,18,30,0,0
2019,1,3,19,0,0,0
2019,1,3,19,30,0,0
2019,1,3,20,0,0,0
2019,1,3,20,30,0,0
2019,1,3,21,0,0,0
2019,1,3,21,30,0,0
2019,1,3,22,0,0,0
2019,1,3,22,30,0,0
2019,1,3,23,0,0,0
2019,1,3,23,30,0,0
2019,1,4,0,0,0,0
2019,1,4,0,30,0,0
2019,1,4,1,0,0,0
2019,1,4,1,30,0,0
2019,1,4,2,0,0,0
2019,1,4,2,30,0,0
2019,1,4,3,0,0,0
2019,1,4,3,30,0,0
2019,1,4,4,0,0,0
2019,1,4,4,30,0,0
2019,1,4,5,0,0,0
2019,1,4,5,30,0,0
2019,1,4,6,0,0,0
2019,1,4,6,30,0,0
2019,1,4,7,0,0,0
2019,1,4,7,30,0,0
2019,1,4,8,0,5,34
2019,1,4,8,30,11,107
2019,1,4,9,0,17,191
2019,1,4,9,30,19,277
2019,1,4,10,0,40,358
2019,1,4,10,30,171,433
2019,1,4,11,0,180,499
2019,1,4,11,30,138,551
2019,1,4,12,0,153,588
2019,1,4,12,30,162,606
2019,1,4,13,0,330,606
2019,1,4,13,30,311,588
2019,1,4,14,0,253,554
2019,1,4,14,30,344,505
2019,1,4,15,0,256,442
2019,1,4,15,30,250,367
2019,1,4,16,0,253,283
2019,1,4,16,30,138,193
2019,1,4,17,0,57,103
2019,1,4,17,30,19,27
2019,1,4,18,0,0,0
2019,1,4,18,30,0,0
2019,1,4,19,0,0,0
2019,1,4,19,30,0,0
2019,1,4,20,0,0,0
2019,1,4,20,30,0,0
2019,1,4,21,0,0,0
2019,1,4,21,30,0,0
2019,1,4,22,0,0,0
2019,1,4,22,30,0,0
2019,1,4,23,0,0,0
2019,1,4,23,30,0,0
2019,1,5,0,0,0,0
2019,1,5,0,30,0,0
2019,1,5,1,0,0,0
2019,1,5,1,30,0,0
2019,1,5,2,0,0,0
2019,1,5,2,30,0,0
2019,1,5,3,0,0,0
2019,1,5,3,30,0,0
2019,1,5,4,0,0,0
2019,1,5,4,30,0,0
2019,1,5,5,0,0,0
2019,1,5,5,30,0,0
2019,1,5,6,0,0,0
2019,1,5,6,30,0,0
2019,1,5,7,0,0,0
2019,1,5,7,30,0,0
2019,1,5,8,0,17,34
2019,1,5,8,30,103,112
2019,1,5,9,0,203,203
2019,1,5,9,30,297,297
2019,1,5,10,0,386,386
2019,1,5,10,30,458,458
2019,1,5,11,0,519,519
2019,1,5,11,30,565,565
2019,1,5,12,0,595,595
2019,1,5,12,30,610,610
2019,1,5,13,0,610,610
2019,1,5,13,30,593,593
2019,1,5,14,0,560,560
2019,1,5,14,30,511,511
2019,1,5,15,0,448,448
2019,1,5,15,30,374,374
2019,1,5,16,0,290,290
2019,1,5,16,30,199,199
2019,1,5,17,0,108,108
2019,1,5,17,30,29,29
2019,1,5,18,0,0,0
2019,1,5,18,30,0,0
2019,1,5,19,0,0,0
2019,1,5,19,30,0,0
2019,1,5,20,0,0,0
2019,1,5,20,30,0,0
2019,1,5,21,0,0,0
2019,1,5,21,30,0,0
2019,1,5,22,0,0,0
2019,1,5,22,30,0,0
2019,1,5,23,0,0,0
2019,1,5,23,30,0,0
2019,1,6,0,0,0,0
2019,1,6,0,30,0,0
2019,1,6,1,0,0,0
