Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1000729,-,-,-,32.53,-82.94,-5,76,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI
2019,1,1,0,0,0,0
2019,1,1,0,30,0,0
2019,1,1,1,0,0,0
2019,1,1,1,30,0,0
2019,1,1,2,0,0,0
2019,1,1,2,30,0,0
2019,1,1,3,0,0,0
2019,1,1,3,30,0,0
2019,1,1,4,0,0,0
2019,1,1,4,30,0,0
2019,1,1,5,0,0,0
2019,1,1,5,30,0,0
2019,1,1,6,0,0,0
2019,1,1,6,30,0,0
2019,1,1,7,0,0,0
2019,1,1,7,30,2,2
2019,1,1,8,0,29,48
2019,1,1,8,30,53,125
2019,1,1,9,0,42,211
2019,1,1,9,30,132,291
2019,1,1,10,0,171,363
2019,1,1,10,30,196,429
2019,1,1,11,0,187,483
2019,1,1,11,30,234,523
2019,1,1,12,0,175,550
2019,1,1,12,30,139,559
2019,1,1,13,0,166,551
2019,1,1,13,30,196,530
2019,1,1,14,0,222,494
2019,1,1,14,30,197,444
2019,1,1,15,0,212,383
2019,1,1,15,30,169,310
2019,1,1,16,0,172,230
2019,1,1,16,30,108,147
2019,1,1,17,0,37,68
2019,1,1,17,30,7,11
2019,1,1,18,0,0,0
2019,1,1,18,30,0,0
2019,1,1,19,0,0,0
2019,1,1,19,30,0,0
2019,1,1,20,0,0,0
2019,1,1,20,30,0,0
2019,1,1,21,0,0,0
2019,1,1,21,30,0,0
2019,1,1,22,0,0,0
2019,1,1,22,30,0,0
2019,1,1,23,0,0,0
2019,1,1,23,30,0,0
2019,1,2,0,0,0,0
2019,1,2,0,30,0,0
2019,1,2,1,0,0,0
2019,1,2,1,30,0,0
2019,1,2,2,0,0,0
2019,1,2,2,30,0,0
2019,1,2,3,0,0,0
2019,1,2,3,30,0,0
2019,1,2,4,0,0,0
2019,1,2,4,30,0,0
2019,1,2,5,0,0,0
2019,1,2,5,30,0,0
2019,1,2,6,0,0,0
2019,1,2,6,30,0,0
2019,1,2,7,0,0,0
2019,1,2,7,30,2,2
2019,1,2,8,0,33,43
2019,1,2,8,30,72,117
2019,1,2,9,0,140,201
2019,1,2,9,30,49,283
2019,1,2,10,0,58,359
2019,1,2,10,30,95,424
2019,1,2,11,0,119,478
2019,1,2,11,30,144,519
2019,1,2,12,0,144,547
2019,1,2,12,30,181,557
2019,1,2,13,0,192,551
2019,1,2,13,30,216,532
2019,1,2,14,0,219,499
2019,1,2,14,30,249,451
2019,1,2,15,0,205,390
2019,1,2,15,30,189,318
2019,1,2,16,0,132,238
2019,1,2,16,30,104,154
2019,1,2,17,0,46,73
2019,1,2,17,30,7,14
2019,1,2,18,0,0,0
2019,1,2,18,30,0,0
2019,1,2,19,0,0,0
2019,1,2,19,30,0,0
2019,1,2,20,0,0,0
2019,1,2,20,30,0,0
2019,1,2,21,0,0,0
2019,1,2,21,30,0,0
2019,1,2,22,0,0,0
2019,1,2,22,30,0,0
2019,1,2,23,0,0,0
2019,1,2,23,30,0,0
2019,1,3,0,0,0,0
2019,1,3,0,30,0,0
2019,1,3,1,0,0,0
2019,1,3,1,30,0,0
2019,1,3,2,0,0,0
2019,1,3,2,30,0,0
2019,1,3,3,0,0,0
2019,1,3,3,30,0,0
2019,1,3,4,0,0,0
2019,1,3,4,30,0,0
2019,1,3,5,0,0,0
2019,1,3,5,30,0,0
2019,1,3,6,0,0,0
2019,1,3,6,30,0,0
2019,1,3,7,0,0,0
2019,1,3,7,30,1,2
2019,1,3,8,0,14,48
2019,1,3,8,30,28,124
2019,1,3,9,0,47,209
2019,1,3,9,30,51,291
2019,1,3,10,0,59,368
2019,1,3,10,30,59,435
2019,1,3,11,0,118,490
2019,1,3,11,30,95,532
2019,1,3,12,0,125,559
2019,1,3,12,30,181,571
2019,1,3,13,0,147,567
2019,1,3,13,30,146,548
2019,1,3,14,0,178,513
2019,1,3,14,30,305,464
2019,1,3,15,0,226,401
2019,1,3,15,30,140,327
2019,1,3,16,0,79,245
2019,1,3,16,30,38,158
2019,1,3,17,0,20,76
2019,1,3,17,30,6,14
2019,1,3,18,0,0,0
2019,1,3,18,30,0,0
2019,1,3,19,0,0,0
2019,1,3,19,30,0,0
2019,1,3,20,0,0,0
2019,1,3,20,30,0,0
2019,1,3,21,0,0,0
2019,1,3,21,30,0,0
2019,1,3,22,0,0,0
2019,1,3,22,30,0,0
2019,1,3,23,0,0,0
2019,1,3,23,30,0,0
2019,1,4,0,0,0,0
2019,1,4,0,30,0,0
2019,1,4,1,0,0,0
2019,1,4,1,30,0,0
2019,1,4,2,0,0,0
2019,1,4,2,30,0,0
2019,1,4,3,0,0,0
2019,1,4,3,30,0,0
2019,1,4,4,0,0,0
2019,1,4,4,30,0,0
2019,1,4,5,0,0,0
2019,1,4,5,30,0,0
2019,1,4,6,0,0,0
2019,1,4,6,30,0,0
2019,1,4,7,0,0,0
2019,1,4,7,30,0,2
2019,1,4,8,0,6,45
2019,1,4,8,30,10,120
2019,1,4,9,0,15,205
2019,1,4,9,30,23,287
2019,1,4,10,0,22,364
2019,1,4,10,30,21,431
2019,1,4,11,0,28,485
2019,1,4,11,30,35,528
2019,1,4,12,0,36,557
2019,1,4,12,30,38,572
2019,1,4,13,0,37,574
2019,1,4,13,30,38,562
2019,1,4,14,0,43,535
2019,1,4,14,30,67,489
2019,1,4,15,0,108,429
2019,1,4,15,30,108,353
2019,1,4,16,0,222,266
2019,1,4,16,30,142,175
2019,1,4,17,0,75,86
2019,1,4,17,30,8,17
2019,1,4,18,0,0,0
2019,1,4,18,30,0,0
2019,1,4,19,0,0,0
2019,1,4,19,30,0,0
2019,1,4,20,0,0,0
2019,1,4,20,30,0,0
2019,1,4,21,0,0,0
2019,1,4,21,30,0,0
2019,1,4,22,0,0,0
2019,1,4,22,30,0,0
2019,1,4,23,0,0,0
2019,1,4,23,30,0,0
2019,1,5,0,0,0,0
2019,1,5,0,30,0,0
2019,1,5,1,0,0,0
2019,1,5,1,30,0,0
2019,1,5,2,0,0,0
2019,1,5,2,30,0,0
2019,1,5,3,0,0,0
2019,1,5,3,30,0,0
2019,1,5,4,0,0,0
2019,1,5,4,30,0,0
2019,1,5,5,0,0,0
2019,1,5,5,30,0,0
2019,1,5,6,0,0,0
2019,1,5,6,30,0,0
2019,1,5,7,0,0,0
2019,1,5,7,30,1,2
2019,1,5,8,0,19,46
2019,1,5,8,30,52,124
2019,1,5,9,0,104,213
2019,1,5,9,30,252,307
2019,1,5,10,0,398,398
2019,1,5,10,30,470,470
2019,1,5,11,0,529,529
2019,1,5,11,30,573,573
2019,1,5,12,0,599,599
2019,1,5,12,30,611,611
2019,1,5,13,0,606,606
2019,1,5,13,30,586,586
2019,1,5,14,0,549,549
2019,1,5,14,30,498,498
2019,1,5,15,0,434,434
2019,1,5,15,30,357,357
2019,1,5,16,0,271,271
2019,1,5,16,30,180,180
2019,1,5,17,0,91,91
2019,1,5,17,30,19,19
2019,1,5,18,0,0,0
2019,1,5,18,30,0,0
2019,1,5,19,0,0,0
2019,1,5,19,30,0,0
2019,1,5,20,0,0,0
2019,1,5,20,30,0,0
2019,1,5,21,0,0,0
2019,1,5,21,30,0,0
2019,1,5,22,0,0,0
2019,1,5,22,30,0,0
2019,1,5,23,0,0,0
2019,1,5,23,30,0,0
2019,1,6,0,0,0,0
2019,1,6,0,30,0,0
2019,1,6,1,0,0,0
