,Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Date,Predictions
0,2019,1,1,0,0,0,0,2019-01-01 00:00:00,4.702130789297058
1,2019,1,1,0,30,0,0,2019-01-01 00:30:00,7.185043798340473
2,2019,1,1,1,0,0,0,2019-01-01 01:00:00,8.430000686920181
3,2019,1,1,1,30,0,0,2019-01-01 01:30:00,10.23479191998004
4,2019,1,1,2,0,0,0,2019-01-01 02:00:00,11.435251021489734
5,2019,1,1,2,30,0,0,2019-01-01 02:30:00,12.478017840924139
6,2019,1,1,3,0,0,0,2019-01-01 03:00:00,13.207310119069263
7,2019,1,1,3,30,0,0,2019-01-01 03:30:00,13.753206266727972
8,2019,1,1,4,0,0,0,2019-01-01 04:00:00,14.135088215508716
9,2019,1,1,4,30,0,0,2019-01-01 04:30:00,14.406029440973185
10,2019,1,1,5,0,0,0,2019-01-01 05:00:00,14.594017621146548
11,2019,1,1,5,30,0,0,2019-01-01 05:30:00,14.724637609465361
12,2019,1,1,6,0,0,0,2019-01-01 06:00:00,14.814687376548676
13,2019,1,1,6,30,0,0,2019-01-01 06:30:00,14.876719587877943
14,2019,1,1,7,0,0,0,2019-01-01 07:00:00,14.91932548155603
15,2019,1,1,7,30,2,2,2019-01-01 07:30:00,17.58426716167773
16,2019,1,1,8,0,29,48,2019-01-01 08:00:00,52.55054440708929
17,2019,1,1,8,30,53,125,2019-01-01 08:30:00,75.7905019600864
18,2019,1,1,9,0,42,211,2019-01-01 09:00:00,55.93315669378461
19,2019,1,1,9,30,132,291,2019-01-01 09:30:00,177.97339490932626
20,2019,1,1,10,0,171,363,2019-01-01 10:00:00,197.4296907823208
21,2019,1,1,10,30,196,429,2019-01-01 10:30:00,225.89734239796664
22,2019,1,1,11,0,187,483,2019-01-01 11:00:00,201.4368124613833
23,2019,1,1,11,30,234,523,2019-01-01 11:30:00,263.83219599304715
24,2019,1,1,12,0,175,550,2019-01-01 12:00:00,165.13022289034927
25,2019,1,1,12,30,139,559,2019-01-01 12:30:00,138.75236628182003
26,2019,1,1,13,0,166,551,2019-01-01 13:00:00,174.56760513447495
27,2019,1,1,13,30,196,530,2019-01-01 13:30:00,205.32118605759635
28,2019,1,1,14,0,222,494,2019-01-01 14:00:00,234.03685407884967
29,2019,1,1,14,30,197,444,2019-01-01 14:30:00,194.18771233183935
30,2019,1,1,15,0,212,383,2019-01-01 15:00:00,222.21098293228172
31,2019,1,1,15,30,169,310,2019-01-01 15:30:00,155.81269584155677
32,2019,1,1,16,0,172,230,2019-01-01 16:00:00,175.70360139624663
33,2019,1,1,16,30,108,147,2019-01-01 16:30:00,84.56042545968772
34,2019,1,1,17,0,37,68,2019-01-01 17:00:00,14.90857512949097
35,2019,1,1,17,30,7,11,2019-01-01 17:30:00,0.0
36,2019,1,1,18,0,0,0,2019-01-01 18:00:00,0.0
37,2019,1,1,18,30,0,0,2019-01-01 18:30:00,0.0
38,2019,1,1,19,0,0,0,2019-01-01 19:00:00,3.014834548158632
39,2019,1,1,19,30,0,0,2019-01-01 19:30:00,6.778066177134917
40,2019,1,1,20,0,0,0,2019-01-01 20:00:00,9.328695352603745
41,2019,1,1,20,30,0,0,2019-01-01 20:30:00,11.126137782302806
42,2019,1,1,21,0,0,0,2019-01-01 21:00:00,12.348447448576621
43,2019,1,1,21,30,0,0,2019-01-01 21:30:00,13.190317323034549
44,2019,1,1,22,0,0,0,2019-01-01 22:00:00,13.765093402457211
45,2019,1,1,22,30,0,0,2019-01-01 22:30:00,14.159002767363575
46,2019,1,1,23,0,0,0,2019-01-01 23:00:00,14.428346971929301
47,2019,1,1,23,30,0,0,2019-01-01 23:30:00,14.612715257008801
48,2019,1,2,0,0,0,0,2019-01-02 00:00:00,14.738840788499573
49,2019,1,2,0,30,0,0,2019-01-02 00:30:00,14.825148554209335
50,2019,1,2,1,0,0,0,2019-01-02 01:00:00,14.884199429665955
51,2019,1,2,1,30,0,0,2019-01-02 01:30:00,14.924604758655448
52,2019,1,2,2,0,0,0,2019-01-02 02:00:00,14.952250732568075
53,2019,1,2,2,30,0,0,2019-01-02 02:30:00,14.971166979103515
54,2019,1,2,3,0,0,0,2019-01-02 03:00:00,14.984109916740948
55,2019,1,2,3,30,0,0,2019-01-02 03:30:00,14.992965831714287
56,2019,1,2,4,0,0,0,2019-01-02 04:00:00,14.999025273370336
57,2019,1,2,4,30,0,0,2019-01-02 04:30:00,15.003171304053126
58,2019,1,2,5,0,0,0,2019-01-02 05:00:00,15.006008125694336
59,2019,1,2,5,30,0,0,2019-01-02 05:30:00,15.007949153474698
60,2019,1,2,6,0,0,0,2019-01-02 06:00:00,15.009277255277539
61,2019,1,2,6,30,0,0,2019-01-02 06:30:00,15.010185977264115
62,2019,1,2,7,0,0,0,2019-01-02 07:00:00,15.010807748571722
63,2019,1,2,7,30,2,2,2019-01-02 07:30:00,17.646924121921387
64,2019,1,2,8,0,33,43,2019-01-02 08:00:00,57.8647719288432
65,2019,1,2,8,30,72,117,2019-01-02 08:30:00,99.58757559001941
66,2019,1,2,9,0,140,201,2019-01-02 09:00:00,179.4218874392869
67,2019,1,2,9,30,49,283,2019-01-02 09:30:00,38.836888051043616
68,2019,1,2,10,0,58,359,2019-01-02 10:00:00,82.08984780208702
