Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,966605,-,-,-,32.97,-84.54,-5,226,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI
2019,1,1,0,0,0,0
2019,1,1,0,30,0,0
2019,1,1,1,0,0,0
2019,1,1,1,30,0,0
2019,1,1,2,0,0,0
2019,1,1,2,30,0,0
2019,1,1,3,0,0,0
2019,1,1,3,30,0,0
2019,1,1,4,0,0,0
2019,1,1,4,30,0,0
2019,1,1,5,0,0,0
2019,1,1,5,30,0,0
2019,1,1,6,0,0,0
2019,1,1,6,30,0,0
2019,1,1,7,0,0,0
2019,1,1,7,30,0,0
2019,1,1,8,0,17,31
2019,1,1,8,30,56,101
2019,1,1,9,0,106,183
2019,1,1,9,30,153,263
2019,1,1,10,0,114,335
2019,1,1,10,30,28,402
2019,1,1,11,0,20,458
2019,1,1,11,30,28,501
2019,1,1,12,0,37,529
2019,1,1,12,30,53,541
2019,1,1,13,0,39,538
2019,1,1,13,30,40,520
2019,1,1,14,0,79,486
2019,1,1,14,30,135,439
2019,1,1,15,0,64,379
2019,1,1,15,30,69,310
2019,1,1,16,0,33,234
2019,1,1,16,30,11,154
2019,1,1,17,0,11,77
2019,1,1,17,30,11,16
2019,1,1,18,0,0,0
2019,1,1,18,30,0,0
2019,1,1,19,0,0,0
2019,1,1,19,30,0,0
2019,1,1,20,0,0,0
2019,1,1,20,30,0,0
2019,1,1,21,0,0,0
2019,1,1,21,30,0,0
2019,1,1,22,0,0,0
2019,1,1,22,30,0,0
2019,1,1,23,0,0,0
2019,1,1,23,30,0,0
2019,1,2,0,0,0,0
2019,1,2,0,30,0,0
2019,1,2,1,0,0,0
2019,1,2,1,30,0,0
2019,1,2,2,0,0,0
2019,1,2,2,30,0,0
2019,1,2,3,0,0,0
2019,1,2,3,30,0,0
2019,1,2,4,0,0,0
2019,1,2,4,30,0,0
2019,1,2,5,0,0,0
2019,1,2,5,30,0,0
2019,1,2,6,0,0,0
2019,1,2,6,30,0,0
2019,1,2,7,0,0,0
2019,1,2,7,30,0,0
2019,1,2,8,0,5,30
2019,1,2,8,30,7,99
2019,1,2,9,0,24,180
2019,1,2,9,30,49,262
2019,1,2,10,0,48,338
2019,1,2,10,30,30,406
2019,1,2,11,0,37,462
2019,1,2,11,30,42,505
2019,1,2,12,0,83,534
2019,1,2,12,30,108,546
2019,1,2,13,0,91,543
2019,1,2,13,30,96,526
2019,1,2,14,0,62,494
2019,1,2,14,30,59,449
2019,1,2,15,0,39,390
2019,1,2,15,30,29,320
2019,1,2,16,0,21,242
2019,1,2,16,30,10,161
2019,1,2,17,0,8,82
2019,1,2,17,30,3,20
2019,1,2,18,0,0,0
2019,1,2,18,30,0,0
2019,1,2,19,0,0,0
2019,1,2,19,30,0,0
2019,1,2,20,0,0,0
2019,1,2,20,30,0,0
2019,1,2,21,0,0,0
2019,1,2,21,30,0,0
2019,1,2,22,0,0,0
2019,1,2,22,30,0,0
2019,1,2,23,0,0,0
2019,1,2,23,30,0,0
2019,1,3,0,0,0,0
2019,1,3,0,30,0,0
2019,1,3,1,0,0,0
2019,1,3,1,30,0,0
2019,1,3,2,0,0,0
2019,1,3,2,30,0,0
2019,1,3,3,0,0,0
2019,1,3,3,30,0,0
2019,1,3,4,0,0,0
2019,1,3,4,30,0,0
2019,1,3,5,0,0,0
2019,1,3,5,30,0,0
2019,1,3,6,0,0,0
2019,1,3,6,30,0,0
2019,1,3,7,0,0,0
2019,1,3,7,30,0,0
2019,1,3,8,0,7,31
2019,1,3,8,30,14,102
2019,1,3,9,0,19,186
2019,1,3,9,30,27,269
2019,1,3,10,0,38,346
2019,1,3,10,30,51,415
2019,1,3,11,0,90,471
2019,1,3,11,30,127,515
2019,1,3,12,0,160,545
2019,1,3,12,30,188,560
2019,1,3,13,0,110,558
2019,1,3,13,30,141,542
2019,1,3,14,0,103,510
2019,1,3,14,30,86,464
2019,1,3,15,0,45,404
2019,1,3,15,30,43,333
2019,1,3,16,0,41,254
2019,1,3,16,30,37,170
2019,1,3,17,0,24,88
2019,1,3,17,30,8,22
2019,1,3,18,0,0,0
2019,1,3,18,30,0,0
2019,1,3,19,0,0,0
2019,1,3,19,30,0,0
2019,1,3,20,0,0,0
2019,1,3,20,30,0,0
2019,1,3,21,0,0,0
2019,1,3,21,30,0,0
2019,1,3,22,0,0,0
2019,1,3,22,30,0,0
2019,1,3,23,0,0,0
2019,1,3,23,30,0,0
2019,1,4,0,0,0,0
2019,1,4,0,30,0,0
2019,1,4,1,0,0,0
2019,1,4,1,30,0,0
2019,1,4,2,0,0,0
2019,1,4,2,30,0,0
2019,1,4,3,0,0,0
2019,1,4,3,30,0,0
2019,1,4,4,0,0,0
2019,1,4,4,30,0,0
2019,1,4,5,0,0,0
2019,1,4,5,30,0,0
2019,1,4,6,0,0,0
2019,1,4,6,30,0,0
2019,1,4,7,0,0,0
2019,1,4,7,30,0,0
2019,1,4,8,0,8,30
2019,1,4,8,30,16,101
2019,1,4,9,0,25,185
2019,1,4,9,30,37,271
2019,1,4,10,0,97,353
2019,1,4,10,30,115,428
2019,1,4,11,0,178,493
2019,1,4,11,30,311,544
2019,1,4,12,0,312,580
2019,1,4,12,30,349,597
2019,1,4,13,0,346,597
2019,1,4,13,30,363,579
2019,1,4,14,0,416,546
2019,1,4,14,30,456,498
2019,1,4,15,0,392,436
2019,1,4,15,30,288,364
2019,1,4,16,0,194,281
2019,1,4,16,30,192,192
2019,1,4,17,0,103,103
2019,1,4,17,30,27,27
2019,1,4,18,0,0,0
2019,1,4,18,30,0,0
2019,1,4,19,0,0,0
2019,1,4,19,30,0,0
2019,1,4,20,0,0,0
2019,1,4,20,30,0,0
2019,1,4,21,0,0,0
2019,1,4,21,30,0,0
2019,1,4,22,0,0,0
2019,1,4,22,30,0,0
2019,1,4,23,0,0,0
2019,1,4,23,30,0,0
2019,1,5,0,0,0,0
2019,1,5,0,30,0,0
2019,1,5,1,0,0,0
2019,1,5,1,30,0,0
2019,1,5,2,0,0,0
2019,1,5,2,30,0,0
2019,1,5,3,0,0,0
2019,1,5,3,30,0,0
2019,1,5,4,0,0,0
2019,1,5,4,30,0,0
2019,1,5,5,0,0,0
2019,1,5,5,30,0,0
2019,1,5,6,0,0,0
2019,1,5,6,30,0,0
2019,1,5,7,0,0,0
2019,1,5,7,30,0,0
2019,1,5,8,0,27,31
2019,1,5,8,30,105,107
2019,1,5,9,0,198,198
2019,1,5,9,30,290,290
2019,1,5,10,0,375,375
2019,1,5,10,30,448,448
2019,1,5,11,0,510,510
2019,1,5,11,30,556,556
2019,1,5,12,0,588,588
2019,1,5,12,30,604,604
2019,1,5,13,0,604,604
2019,1,5,13,30,589,589
2019,1,5,14,0,556,556
2019,1,5,14,30,508,508
2019,1,5,15,0,446,446
2019,1,5,15,30,372,372
2019,1,5,16,0,288,288
2019,1,5,16,30,198,198
2019,1,5,17,0,107,107
2019,1,5,17,30,29,29
2019,1,5,18,0,0,0
2019,1,5,18,30,0,0
2019,1,5,19,0,0,0
2019,1,5,19,30,0,0
2019,1,5,20,0,0,0
2019,1,5,20,30,0,0
2019,1,5,21,0,0,0
2019,1,5,21,30,0,0
2019,1,5,22,0,0,0
2019,1,5,22,30,0,0
2019,1,5,23,0,0,0
2019,1,5,23,30,0,0
2019,1,6,0,0,0,0
2019,1,6,0,30,0,0
2019,1,6,1,0,0,0
