,Year,Month,Day,Hour,Minute,GHI,Predictions,Clearsky GHI,Date
0,2019,1,1,0,0,0,4.492265049,0,1/1/19 0:00
1,2019,1,1,0,30,0,6.808078049,0,1/1/19 0:30
2,2019,1,1,1,0,0,7.993298933,0,1/1/19 1:00
3,2019,1,1,1,30,0,9.904110677,0,1/1/19 1:30
4,2019,1,1,2,0,0,11.0593658,0,1/1/19 2:00
5,2019,1,1,2,30,0,12.04882546,0,1/1/19 2:30
6,2019,1,1,3,0,0,12.61871078,0,1/1/19 3:00
7,2019,1,1,3,30,0,13.00085389,0,1/1/19 3:30
8,2019,1,1,4,0,0,13.21257476,0,1/1/19 4:00
9,2019,1,1,4,30,0,13.33939344,0,1/1/19 4:30
10,2019,1,1,5,0,0,13.40831059,0,1/1/19 5:00
11,2019,1,1,5,30,0,13.44738139,0,1/1/19 5:30
12,2019,1,1,6,0,0,13.46839822,0,1/1/19 6:00
13,2019,1,1,6,30,0,13.47996807,0,1/1/19 6:30
14,2019,1,1,7,0,0,13.48614997,0,1/1/19 7:00
15,2019,1,1,7,30,0,13.48949457,0,1/1/19 7:30
16,2019,1,1,8,0,17,35.67246759,31,1/1/19 8:00
17,2019,1,1,8,30,56,81.30434781,101,1/1/19 8:30
18,2019,1,1,9,0,106,136.6244741,183,1/1/19 9:00
19,2019,1,1,9,30,153,185.5933378,263,1/1/19 9:30
20,2019,1,1,10,0,114,122.139287,335,1/1/19 10:00
21,2019,1,1,10,30,28,21.54624089,402,1/1/19 10:30
22,2019,1,1,11,0,20,25.64059495,458,1/1/19 11:00
23,2019,1,1,11,30,28,28.87678208,501,1/1/19 11:30
24,2019,1,1,12,0,37,43.8504298,529,1/1/19 12:00
25,2019,1,1,12,30,53,64.73960293,541,1/1/19 12:30
26,2019,1,1,13,0,39,44.481841,538,1/1/19 13:00
27,2019,1,1,13,30,40,52.3588826,520,1/1/19 13:30
28,2019,1,1,14,0,79,100.0829772,486,1/1/19 14:00
29,2019,1,1,14,30,135,162.6185012,439,1/1/19 14:30
30,2019,1,1,15,0,64,57.17372877,379,1/1/19 15:00
31,2019,1,1,15,30,69,88.87826689,310,1/1/19 15:30
32,2019,1,1,16,0,33,25.0372562,234,1/1/19 16:00
33,2019,1,1,16,30,11,13.66389532,154,1/1/19 16:30
34,2019,1,1,17,0,11,13.7251483,77,1/1/19 17:00
35,2019,1,1,17,30,11,16.15031674,16,1/1/19 17:30
36,2019,1,1,18,0,0,4.366318725,0,1/1/19 18:00
37,2019,1,1,18,30,0,9.648514726,0,1/1/19 18:30
38,2019,1,1,19,0,0,9.531136171,0,1/1/19 19:00
39,2019,1,1,19,30,0,11.47874697,0,1/1/19 19:30
40,2019,1,1,20,0,0,12.07151379,0,1/1/19 20:00
41,2019,1,1,20,30,0,12.73867692,0,1/1/19 20:30
42,2019,1,1,21,0,0,13.02810937,0,1/1/19 21:00
43,2019,1,1,21,30,0,13.24383632,0,1/1/19 21:30
44,2019,1,1,22,0,0,13.34915634,0,1/1/19 22:00
45,2019,1,1,22,30,0,13.41599081,0,1/1/19 22:30
46,2019,1,1,23,0,0,13.45019337,0,1/1/19 23:00
47,2019,1,1,23,30,0,13.47025328,0,1/1/19 23:30
48,2019,1,2,0,0,0,13.48072039,0,1/2/19 0:00
49,2019,1,2,0,30,0,13.48659967,0,1/2/19 0:30
50,2019,1,2,1,0,0,13.48969031,0,1/2/19 1:00
51,2019,1,2,1,30,0,13.4913825,0,1/2/19 1:30
52,2019,1,2,2,0,0,13.49227382,0,1/2/19 2:00
53,2019,1,2,2,30,0,13.4927541,0,1/2/19 2:30
54,2019,1,2,3,0,0,13.49300695,0,1/2/19 3:00
55,2019,1,2,3,30,0,13.49314178,0,1/2/19 3:30
56,2019,1,2,4,0,0,13.49321266,0,1/2/19 4:00
57,2019,1,2,4,30,0,13.49325018,0,1/2/19 4:30
58,2019,1,2,5,0,0,13.49326987,0,1/2/19 5:00
