Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,985751,-,-,-,33.69,-83.66,-5,228,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI
2019,1,1,0,0,0,0
2019,1,1,0,30,0,0
2019,1,1,1,0,0,0
2019,1,1,1,30,0,0
2019,1,1,2,0,0,0
2019,1,1,2,30,0,0
2019,1,1,3,0,0,0
2019,1,1,3,30,0,0
2019,1,1,4,0,0,0
2019,1,1,4,30,0,0
2019,1,1,5,0,0,0
2019,1,1,5,30,0,0
2019,1,1,6,0,0,0
2019,1,1,6,30,0,0
2019,1,1,7,0,0,0
2019,1,1,7,30,0,0
2019,1,1,8,0,28,33
2019,1,1,8,30,67,104
2019,1,1,9,0,146,185
2019,1,1,9,30,212,263
2019,1,1,10,0,220,334
2019,1,1,10,30,228,399
2019,1,1,11,0,248,452
2019,1,1,11,30,222,492
2019,1,1,12,0,246,518
2019,1,1,12,30,172,529
2019,1,1,13,0,93,525
2019,1,1,13,30,88,506
2019,1,1,14,0,60,472
2019,1,1,14,30,125,425
2019,1,1,15,0,252,365
2019,1,1,15,30,253,296
2019,1,1,16,0,181,219
2019,1,1,16,30,101,140
2019,1,1,17,0,45,65
2019,1,1,17,30,6,10
2019,1,1,18,0,0,0
2019,1,1,18,30,0,0
2019,1,1,19,0,0,0
2019,1,1,19,30,0,0
2019,1,1,20,0,0,0
2019,1,1,20,30,0,0
2019,1,1,21,0,0,0
2019,1,1,21,30,0,0
2019,1,1,22,0,0,0
2019,1,1,22,30,0,0
2019,1,1,23,0,0,0
2019,1,1,23,30,0,0
2019,1,2,0,0,0,0
2019,1,2,0,30,0,0
2019,1,2,1,0,0,0
2019,1,2,1,30,0,0
2019,1,2,2,0,0,0
2019,1,2,2,30,0,0
2019,1,2,3,0,0,0
2019,1,2,3,30,0,0
2019,1,2,4,0,0,0
2019,1,2,4,30,0,0
2019,1,2,5,0,0,0
2019,1,2,5,30,0,0
2019,1,2,6,0,0,0
2019,1,2,6,30,0,0
2019,1,2,7,0,0,0
2019,1,2,7,30,0,0
2019,1,2,8,0,12,35
2019,1,2,8,30,33,108
2019,1,2,9,0,56,191
2019,1,2,9,30,156,272
2019,1,2,10,0,232,346
2019,1,2,10,30,86,410
2019,1,2,11,0,110,463
2019,1,2,11,30,130,503
2019,1,2,12,0,210,529
2019,1,2,12,30,144,539
2019,1,2,13,0,64,534
2019,1,2,13,30,47,515
2019,1,2,14,0,66,481
2019,1,2,14,30,70,434
2019,1,2,15,0,76,374
2019,1,2,15,30,86,303
2019,1,2,16,0,39,225
2019,1,2,16,30,37,144
2019,1,2,17,0,19,67
2019,1,2,17,30,5,12
2019,1,2,18,0,0,0
2019,1,2,18,30,0,0
2019,1,2,19,0,0,0
2019,1,2,19,30,0,0
2019,1,2,20,0,0,0
2019,1,2,20,30,0,0
2019,1,2,21,0,0,0
2019,1,2,21,30,0,0
2019,1,2,22,0,0,0
2019,1,2,22,30,0,0
2019,1,2,23,0,0,0
2019,1,2,23,30,0,0
2019,1,3,0,0,0,0
2019,1,3,0,30,0,0
2019,1,3,1,0,0,0
2019,1,3,1,30,0,0
2019,1,3,2,0,0,0
2019,1,3,2,30,0,0
2019,1,3,3,0,0,0
2019,1,3,3,30,0,0
2019,1,3,4,0,0,0
2019,1,3,4,30,0,0
2019,1,3,5,0,0,0
2019,1,3,5,30,0,0
2019,1,3,6,0,0,0
2019,1,3,6,30,0,0
2019,1,3,7,0,0,0
2019,1,3,7,30,0,0
2019,1,3,8,0,6,33
2019,1,3,8,30,14,104
2019,1,3,9,0,20,186
2019,1,3,9,30,22,267
2019,1,3,10,0,30,341
2019,1,3,10,30,42,407
2019,1,3,11,0,59,461
2019,1,3,11,30,94,503
2019,1,3,12,0,150,530
2019,1,3,12,30,145,543
2019,1,3,13,0,84,541
2019,1,3,13,30,79,523
2019,1,3,14,0,74,490
2019,1,3,14,30,80,442
2019,1,3,15,0,83,382
2019,1,3,15,30,82,311
2019,1,3,16,0,43,233
2019,1,3,16,30,27,151
2019,1,3,17,0,14,72
2019,1,3,17,30,5,14
2019,1,3,18,0,0,0
2019,1,3,18,30,0,0
2019,1,3,19,0,0,0
2019,1,3,19,30,0,0
2019,1,3,20,0,0,0
2019,1,3,20,30,0,0
2019,1,3,21,0,0,0
2019,1,3,21,30,0,0
2019,1,3,22,0,0,0
2019,1,3,22,30,0,0
2019,1,3,23,0,0,0
2019,1,3,23,30,0,0
2019,1,4,0,0,0,0
2019,1,4,0,30,0,0
2019,1,4,1,0,0,0
2019,1,4,1,30,0,0
2019,1,4,2,0,0,0
2019,1,4,2,30,0,0
2019,1,4,3,0,0,0
2019,1,4,3,30,0,0
2019,1,4,4,0,0,0
2019,1,4,4,30,0,0
2019,1,4,5,0,0,0
2019,1,4,5,30,0,0
2019,1,4,6,0,0,0
2019,1,4,6,30,0,0
2019,1,4,7,0,0,0
2019,1,4,7,30,0,0
2019,1,4,8,0,3,33
2019,1,4,8,30,6,105
2019,1,4,9,0,9,188
2019,1,4,9,30,15,269
2019,1,4,10,0,24,345
2019,1,4,10,30,40,414
2019,1,4,11,0,52,472
2019,1,4,11,30,95,519
2019,1,4,12,0,171,553
2019,1,4,12,30,184,571
2019,1,4,13,0,224,574
2019,1,4,13,30,300,558
2019,1,4,14,0,211,527
2019,1,4,14,30,197,479
2019,1,4,15,0,243,417
2019,1,4,15,30,265,343
2019,1,4,16,0,237,261
2019,1,4,16,30,152,172
2019,1,4,17,0,31,86
2019,1,4,17,30,6,17
2019,1,4,18,0,0,0
2019,1,4,18,30,0,0
2019,1,4,19,0,0,0
2019,1,4,19,30,0,0
2019,1,4,20,0,0,0
2019,1,4,20,30,0,0
2019,1,4,21,0,0,0
2019,1,4,21,30,0,0
2019,1,4,22,0,0,0
2019,1,4,22,30,0,0
2019,1,4,23,0,0,0
2019,1,4,23,30,0,0
2019,1,5,0,0,0,0
2019,1,5,0,30,0,0
2019,1,5,1,0,0,0
2019,1,5,1,30,0,0
2019,1,5,2,0,0,0
2019,1,5,2,30,0,0
2019,1,5,3,0,0,0
2019,1,5,3,30,0,0
2019,1,5,4,0,0,0
2019,1,5,4,30,0,0
2019,1,5,5,0,0,0
2019,1,5,5,30,0,0
2019,1,5,6,0,0,0
2019,1,5,6,30,0,0
2019,1,5,7,0,0,0
2019,1,5,7,30,0,0
2019,1,5,8,0,34,34
2019,1,5,8,30,110,110
2019,1,5,9,0,200,200
2019,1,5,9,30,291,291
2019,1,5,10,0,374,374
2019,1,5,10,30,445,445
2019,1,5,11,0,504,504
2019,1,5,11,30,548,548
2019,1,5,12,0,578,578
2019,1,5,12,30,594,594
2019,1,5,13,0,591,591
2019,1,5,13,30,573,573
2019,1,5,14,0,538,538
2019,1,5,14,30,489,489
2019,1,5,15,0,426,426
2019,1,5,15,30,352,352
2019,1,5,16,0,268,268
2019,1,5,16,30,179,179
2019,1,5,17,0,91,91
2019,1,5,17,30,19,19
2019,1,5,18,0,0,0
2019,1,5,18,30,0,0
2019,1,5,19,0,0,0
2019,1,5,19,30,0,0
2019,1,5,20,0,0,0
2019,1,5,20,30,0,0
2019,1,5,21,0,0,0
2019,1,5,21,30,0,0
2019,1,5,22,0,0,0
2019,1,5,22,30,0,0
2019,1,5,23,0,0,0
2019,1,5,23,30,0,0
2019,1,6,0,0,0,0
2019,1,6,0,30,0,0
2019,1,6,1,0,0,0
