Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,966605,-,-,-,32.97,-84.54,-5,226,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI
1998,1,1,0,0,0,0
1998,1,1,0,30,0,0
1998,1,1,1,0,0,0
1998,1,1,1,30,0,0
1998,1,1,2,0,0,0
1998,1,1,2,30,0,0
1998,1,1,3,0,0,0
1998,1,1,3,30,0,0
1998,1,1,4,0,0,0
1998,1,1,4,30,0,0
1998,1,1,5,0,0,0
1998,1,1,5,30,0,0
1998,1,1,6,0,0,0
1998,1,1,6,30,0,0
1998,1,1,7,0,0,0
1998,1,1,7,30,0,0
1998,1,1,8,0,34,34
1998,1,1,8,30,119,119
1998,1,1,9,0,214,214
1998,1,1,9,30,306,306
1998,1,1,10,0,391,391
1998,1,1,10,30,464,464
1998,1,1,11,0,525,525
1998,1,1,11,30,572,572
1998,1,1,12,0,603,603
1998,1,1,12,30,617,617
1998,1,1,13,0,615,615
1998,1,1,13,30,596,596
1998,1,1,14,0,561,561
1998,1,1,14,30,511,511
1998,1,1,15,0,446,446
1998,1,1,15,30,370,370
1998,1,1,16,0,284,284
1998,1,1,16,30,191,191
1998,1,1,17,0,98,98
1998,1,1,17,30,19,19
1998,1,1,18,0,0,0
1998,1,1,18,30,0,0
1998,1,1,19,0,0,0
1998,1,1,19,30,0,0
1998,1,1,20,0,0,0
1998,1,1,20,30,0,0
1998,1,1,21,0,0,0
1998,1,1,21,30,0,0
1998,1,1,22,0,0,0
1998,1,1,22,30,0,0
1998,1,1,23,0,0,0
1998,1,1,23,30,0,0
1998,1,2,0,0,0,0
1998,1,2,0,30,0,0
1998,1,2,1,0,0,0
1998,1,2,1,30,0,0
1998,1,2,2,0,0,0
1998,1,2,2,30,0,0
1998,1,2,3,0,0,0
1998,1,2,3,30,0,0
1998,1,2,4,0,0,0
1998,1,2,4,30,0,0
1998,1,2,5,0,0,0
1998,1,2,5,30,0,0
1998,1,2,6,0,0,0
1998,1,2,6,30,0,0
1998,1,2,7,0,0,0
1998,1,2,7,30,0,0
1998,1,2,8,0,31,31
1998,1,2,8,30,113,113
1998,1,2,9,0,203,203
1998,1,2,9,30,293,293
1998,1,2,10,0,375,375
1998,1,2,10,30,448,448
1998,1,2,11,0,508,508
1998,1,2,11,30,554,554
1998,1,2,12,0,584,584
1998,1,2,12,30,599,599
1998,1,2,13,0,597,597
1998,1,2,13,30,579,579
1998,1,2,14,0,545,545
1998,1,2,14,30,496,496
1998,1,2,15,0,432,432
1998,1,2,15,30,358,358
1998,1,2,16,0,273,273
1998,1,2,16,30,183,183
1998,1,2,17,0,92,92
1998,1,2,17,30,19,19
1998,1,2,18,0,0,0
1998,1,2,18,30,0,0
1998,1,2,19,0,0,0
1998,1,2,19,30,0,0
1998,1,2,20,0,0,0
1998,1,2,20,30,0,0
1998,1,2,21,0,0,0
1998,1,2,21,30,0,0
1998,1,2,22,0,0,0
1998,1,2,22,30,0,0
1998,1,2,23,0,0,0
1998,1,2,23,30,0,0
1998,1,3,0,0,0,0
1998,1,3,0,30,0,0
1998,1,3,1,0,0,0
1998,1,3,1,30,0,0
1998,1,3,2,0,0,0
1998,1,3,2,30,0,0
1998,1,3,3,0,0,0
1998,1,3,3,30,0,0
1998,1,3,4,0,0,0
1998,1,3,4,30,0,0
1998,1,3,5,0,0,0
1998,1,3,5,30,0,0
1998,1,3,6,0,0,0
1998,1,3,6,30,0,0
1998,1,3,7,0,0,0
1998,1,3,7,30,0,0
1998,1,3,8,0,29,29
1998,1,3,8,30,107,107
1998,1,3,9,0,197,197
