,Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Date,Predictions
0,2019,1,1,0,0,0,0,2019-01-01 00:00:00,4.338578191017575
1,2019,1,1,0,30,0,0,2019-01-01 00:30:00,6.700774309642384
2,2019,1,1,1,0,0,0,2019-01-01 01:00:00,7.998693434788834
3,2019,1,1,1,30,0,0,2019-01-01 01:30:00,9.76108691015591
4,2019,1,1,2,0,0,0,2019-01-01 02:00:00,10.86846571497253
5,2019,1,1,2,30,0,0,2019-01-01 02:30:00,11.754028208937967
6,2019,1,1,3,0,0,0,2019-01-01 03:00:00,12.301032533287923
7,2019,1,1,3,30,0,0,2019-01-01 03:30:00,12.666640738511376
8,2019,1,1,4,0,0,0,2019-01-01 04:00:00,12.889131110919834
9,2019,1,1,4,30,0,0,2019-01-01 04:30:00,13.028310671054044
10,2019,1,1,5,0,0,0,2019-01-01 05:00:00,13.112480733126091
11,2019,1,1,5,30,0,0,2019-01-01 05:30:00,13.163888172957314
12,2019,1,1,6,0,0,0,2019-01-01 06:00:00,13.194907788312605
13,2019,1,1,6,30,0,0,2019-01-01 06:30:00,13.213691928196738
14,2019,1,1,7,0,0,0,2019-01-01 07:00:00,13.225017694763011
15,2019,1,1,7,30,0,0,2019-01-01 07:30:00,13.231855243682247
16,2019,1,1,8,0,28,33,2019-01-01 08:00:00,50.25109837195126
17,2019,1,1,8,30,67,104,2019-01-01 08:30:00,93.39179347957148
18,2019,1,1,9,0,146,185,2019-01-01 09:00:00,188.40206455271195
19,2019,1,1,9,30,212,263,2019-01-01 09:30:00,252.61232022951737
20,2019,1,1,10,0,220,334,2019-01-01 10:00:00,245.8597820357716
21,2019,1,1,10,30,228,399,2019-01-01 10:30:00,250.92828648233015
22,2019,1,1,11,0,248,452,2019-01-01 11:00:00,266.879012348057
23,2019,1,1,11,30,222,492,2019-01-01 11:30:00,222.26331180093527
24,2019,1,1,12,0,246,518,2019-01-01 12:00:00,259.22881860297355
25,2019,1,1,12,30,172,529,2019-01-01 12:30:00,148.03072675821704
26,2019,1,1,13,0,93,525,2019-01-01 13:00:00,68.2091295855416
27,2019,1,1,13,30,88,506,2019-01-01 13:30:00,76.14297851164561
28,2019,1,1,14,0,60,472,2019-01-01 14:00:00,40.2200172708406
29,2019,1,1,14,30,125,425,2019-01-01 14:30:00,141.62243915095678
30,2019,1,1,15,0,252,365,2019-01-01 15:00:00,291.2793555405447
31,2019,1,1,15,30,253,296,2019-01-01 15:30:00,265.19835735025663
32,2019,1,1,16,0,181,219,2019-01-01 16:00:00,176.54412813239372
33,2019,1,1,16,30,101,140,2019-01-01 16:30:00,81.95414313256823
34,2019,1,1,17,0,45,65,2019-01-01 17:00:00,22.84799393937331
35,2019,1,1,17,30,6,10,2019-01-01 17:30:00,0.0
36,2019,1,1,18,0,0,0,2019-01-01 18:00:00,0.0
37,2019,1,1,18,30,0,0,2019-01-01 18:30:00,0.0
38,2019,1,1,19,0,0,0,2019-01-01 19:00:00,2.1136116721384326
39,2019,1,1,19,30,0,0,2019-01-01 19:30:00,6.138078679859262
40,2019,1,1,20,0,0,0,2019-01-01 20:00:00,8.906074035294154
41,2019,1,1,20,30,0,0,2019-01-01 20:30:00,10.583596456751735
42,2019,1,1,21,0,0,0,2019-01-01 21:00:00,11.634884624377008
43,2019,1,1,21,30,0,0,2019-01-01 21:30:00,12.268290904621693
44,2019,1,1,22,0,0,0,2019-01-01 22:00:00,12.65481608252722
45,2019,1,1,22,30,0,0,2019-01-01 22:30:00,12.887596193127507
46,2019,1,1,23,0,0,0,2019-01-01 23:00:00,13.028463296700636
47,2019,1,1,23,30,0,0,2019-01-01 23:30:00,13.113324241455445
48,2019,1,2,0,0,0,0,2019-01-02 00:00:00,13.164538712680695
49,2019,1,2,0,30,0,0,2019-01-02 00:30:00,13.195398726981495
50,2019,1,2,1,0,0,0,2019-01-02 01:00:00,13.214006406944975
51,2019,1,2,1,30,0,0,2019-01-02 01:30:00,13.225220152314137
52,2019,1,2,2,0,0,0,2019-01-02 02:00:00,13.231979694132917
53,2019,1,2,2,30,0,0,2019-01-02 02:30:00,13.236053502455349
54,2019,1,2,3,0,0,0,2019-01-02 03:00:00,13.238508910178012
55,2019,1,2,3,30,0,0,2019-01-02 03:30:00,13.239988759124032
56,2019,1,2,4,0,0,0,2019-01-02 04:00:00,13.240880678632863
57,2019,1,2,4,30,0,0,2019-01-02 04:30:00,13.24141823452436
58,2019,1,2,5,0,0,0,2019-01-02 05:00:00,13.241742220990915
59,2019,1,2,5,30,0,0,2019-01-02 05:30:00,13.24193748691826
60,2019,1,2,6,0,0,0,2019-01-02 06:00:00,13.242055173780471
61,2019,1,2,6,30,0,0,2019-01-02 06:30:00,13.242126103494371
62,2019,1,2,7,0,0,0,2019-01-02 07:00:00,13.242168852806145
63,2019,1,2,7,30,0,0,2019-01-02 07:30:00,13.24219461777301
64,2019,1,2,8,0,12,35,2019-01-02 08:00:00,29.105832570702745
