,Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Date,Predictions
0,2019,1,1,0,0,0,0,2019-01-01 00:00:00,4.437118192309214
1,2019,1,1,0,30,0,0,2019-01-01 00:30:00,6.936938864110431
2,2019,1,1,1,0,0,0,2019-01-01 01:00:00,8.137771485822157
3,2019,1,1,1,30,0,0,2019-01-01 01:30:00,9.719803402510593
4,2019,1,1,2,0,0,0,2019-01-01 02:00:00,10.780814164977158
5,2019,1,1,2,30,0,0,2019-01-01 02:30:00,11.672292721125416
6,2019,1,1,3,0,0,0,2019-01-01 03:00:00,12.310585674767822
7,2019,1,1,3,30,0,0,2019-01-01 03:30:00,12.786495704668312
8,2019,1,1,4,0,0,0,2019-01-01 04:00:00,13.126143638574746
9,2019,1,1,4,30,0,0,2019-01-01 04:30:00,13.369194260906397
10,2019,1,1,5,0,0,0,2019-01-01 05:00:00,13.540726070634435
11,2019,1,1,5,30,0,0,2019-01-01 05:30:00,13.661478981002489
12,2019,1,1,6,0,0,0,2019-01-01 06:00:00,13.746049862224254
13,2019,1,1,6,30,0,0,2019-01-01 06:30:00,13.80515887421302
14,2019,1,1,7,0,0,0,2019-01-01 07:00:00,13.846383256826101
15,2019,1,1,7,30,0,0,2019-01-01 07:30:00,13.875100775403013
16,2019,1,1,8,0,10,36,2019-01-01 08:00:00,27.47944893246091
17,2019,1,1,8,30,23,111,2019-01-01 08:30:00,41.66229286871342
18,2019,1,1,9,0,57,195,2019-01-01 09:00:00,83.98261904581004
19,2019,1,1,9,30,63,276,2019-01-01 09:30:00,80.43151375538794
20,2019,1,1,10,0,59,349,2019-01-01 10:00:00,74.1038090670512
21,2019,1,1,10,30,18,417,2019-01-01 10:30:00,17.42202259694605
22,2019,1,1,11,0,114,472,2019-01-01 11:00:00,160.58016717932014
23,2019,1,1,11,30,200,514,2019-01-01 11:30:00,240.4114977802581
24,2019,1,1,12,0,234,542,2019-01-01 12:00:00,265.17344711905304
25,2019,1,1,12,30,308,554,2019-01-01 12:30:00,352.98067526110634
26,2019,1,1,13,0,247,549,2019-01-01 13:00:00,239.7169258694596
27,2019,1,1,13,30,150,531,2019-01-01 13:30:00,128.72828134313468
28,2019,1,1,14,0,77,497,2019-01-01 14:00:00,51.015885890469406
29,2019,1,1,14,30,57,449,2019-01-01 14:30:00,43.69779811263487
30,2019,1,1,15,0,69,388,2019-01-01 15:00:00,66.61724191394478
31,2019,1,1,15,30,52,318,2019-01-01 15:30:00,43.845942881562024
32,2019,1,1,16,0,48,239,2019-01-01 16:00:00,48.90386301566781
33,2019,1,1,16,30,31,157,2019-01-01 16:30:00,27.752635855949137
34,2019,1,1,17,0,7,78,2019-01-01 17:00:00,3.631076524825744
35,2019,1,1,17,30,3,17,2019-01-01 17:30:00,6.950120064186194
36,2019,1,1,18,0,0,0,2019-01-01 18:00:00,5.020132671117921
37,2019,1,1,18,30,0,0,2019-01-01 18:30:00,8.494175654279843
38,2019,1,1,19,0,0,0,2019-01-01 19:00:00,9.827464702698961
39,2019,1,1,19,30,0,0,2019-01-01 19:30:00,11.174701296369307
40,2019,1,1,20,0,0,0,2019-01-01 20:00:00,11.988154299386508
41,2019,1,1,20,30,0,0,2019-01-01 20:30:00,12.594274170128216
42,2019,1,1,21,0,0,0,2019-01-01 21:00:00,13.002408709078225
43,2019,1,1,21,30,0,0,2019-01-01 21:30:00,13.290024531414105
44,2019,1,1,22,0,0,0,2019-01-01 22:00:00,13.488457723805624
45,2019,1,1,22,30,0,0,2019-01-01 22:30:00,13.626697264568804
46,2019,1,1,23,0,0,0,2019-01-01 23:00:00,13.72257168205212
47,2019,1,1,23,30,0,0,2019-01-01 23:30:00,13.789201542112039
48,2019,1,2,0,0,0,0,2019-01-02 00:00:00,13.835463310584942
49,2019,1,2,0,30,0,0,2019-01-02 00:30:00,13.867597373163818
50,2019,1,2,1,0,0,0,2019-01-02 01:00:00,13.889913636620832
51,2019,1,2,1,30,0,0,2019-01-02 01:30:00,13.9054131352149
52,2019,1,2,2,0,0,0,2019-01-02 02:00:00,13.916177669489116
53,2019,1,2,2,30,0,0,2019-01-02 02:30:00,13.92365387782229
54,2019,1,2,3,0,0,0,2019-01-02 03:00:00,13.928846223589204
55,2019,1,2,3,30,0,0,2019-01-02 03:30:00,13.932452405494985
56,2019,1,2,4,0,0,0,2019-01-02 04:00:00,13.934956961912036
57,2019,1,2,4,30,0,0,2019-01-02 04:30:00,13.936696421698201
58,2019,1,2,5,0,0,0,2019-01-02 05:00:00,13.9379045075259
59,2019,1,2,5,30,0,0,2019-01-02 05:30:00,13.938743544825428
60,2019,1,2,6,0,0,0,2019-01-02 06:00:00,13.939326271245108
61,2019,1,2,6,30,0,0,2019-01-02 06:30:00,13.939730985188021
62,2019,1,2,7,0,0,0,2019-01-02 07:00:00,13.940012066270015
63,2019,1,2,7,30,0,0,2019-01-02 07:30:00,13.940207282117456
64,2019,1,2,8,0,3,33,2019-01-02 08:00:00,18.01564323824826
65,2019,1,2,8,30,6,104,2019-01-02 08:30:00,21.043829066173345
66,2019,1,2,9,0,26,188,2019-01-02 09:00:00,47.36390093556227
67,2019,1,2,9,30,32,271,2019-01-02 09:30:00,48.52157923172891
68,2019,1,2,10,0,41,348,2019-01-02 10:00:00,59.72345153731834
69,2019,1,2,10,30,41,416,2019-01-02 10:30:00,55.47070169986782
70,2019,1,2,11,0,77,472,2019-01-02 11:00:00,104.1638214115275
71,2019,1,2,11,30,126,515,2019-01-02 11:30:00,156.9545661336012
72,2019,1,2,12,0,147,544,2019-01-02 12:00:00,170.23117642649407
73,2019,1,2,12,30,181,557,2019-01-02 12:30:00,209.33797223495466
74,2019,1,2,13,0,116,554,2019-01-02 13:00:00,106.31663872714233
75,2019,1,2,13,30,141,538,2019-01-02 13:30:00,162.05508708698412
76,2019,1,2,14,0,138,507,2019-01-02 14:00:00,140.66527246870834
77,2019,1,2,14,30,114,460,2019-01-02 14:30:00,113.39798307898394
