Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,957906,-,-,-,32.41,-84.98,-6,73,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,
2019,1,1,0,0,0,N/A
2019,1,1,0,30,0,N/A
2019,1,1,1,0,0,N/A
2019,1,1,1,30,0,N/A
2019,1,1,2,0,0,N/A
2019,1,1,2,30,0,N/A
2019,1,1,3,0,0,N/A
2019,1,1,3,30,0,N/A
2019,1,1,4,0,0,N/A
2019,1,1,4,30,0,N/A
2019,1,1,5,0,0,N/A
2019,1,1,5,30,0,N/A
2019,1,1,6,0,0,N/A
2019,1,1,6,30,0,N/A
2019,1,1,7,0,18,N/A
2019,1,1,7,30,37,N/A
2019,1,1,8,0,125,N/A
2019,1,1,8,30,166,N/A
2019,1,1,9,0,161,N/A
2019,1,1,9,30,92,N/A
2019,1,1,10,0,82,N/A
2019,1,1,10,30,111,N/A
2019,1,1,11,0,61,N/A
2019,1,1,11,30,68,N/A
2019,1,1,12,0,120,N/A
2019,1,1,12,30,141,N/A
2019,1,1,13,0,112,N/A
2019,1,1,13,30,86,N/A
2019,1,1,14,0,65,N/A
2019,1,1,14,30,103,N/A
2019,1,1,15,0,43,N/A
2019,1,1,15,30,11,N/A
2019,1,1,16,0,6,N/A
2019,1,1,16,30,4,N/A
2019,1,1,17,0,0,N/A
2019,1,1,17,30,0,N/A
2019,1,1,18,0,0,N/A
2019,1,1,18,30,0,N/A
2019,1,1,19,0,0,N/A
2019,1,1,19,30,0,N/A
2019,1,1,20,0,0,N/A
2019,1,1,20,30,0,N/A
2019,1,1,21,0,0,N/A
2019,1,1,21,30,0,N/A
2019,1,1,22,0,0,N/A
2019,1,1,22,30,0,N/A
2019,1,1,23,0,0,N/A
2019,1,1,23,30,0,N/A
2019,1,2,0,0,0,N/A
2019,1,2,0,30,0,N/A
2019,1,2,1,0,0,N/A
2019,1,2,1,30,0,N/A
2019,1,2,2,0,0,N/A
2019,1,2,2,30,0,N/A
2019,1,2,3,0,0,N/A
2019,1,2,3,30,0,N/A
2019,1,2,4,0,0,N/A
2019,1,2,4,30,0,N/A
2019,1,2,5,0,0,N/A
2019,1,2,5,30,0,N/A
2019,1,2,6,0,0,N/A
2019,1,2,6,30,0,N/A
2019,1,2,7,0,8,N/A
2019,1,2,7,30,11,N/A
2019,1,2,8,0,26,N/A
2019,1,2,8,30,42,N/A
2019,1,2,9,0,52,N/A
2019,1,2,9,30,45,N/A
2019,1,2,10,0,112,N/A
2019,1,2,10,30,141,N/A
2019,1,2,11,0,136,N/A
2019,1,2,11,30,114,N/A
2019,1,2,12,0,105,N/A
2019,1,2,12,30,85,N/A
2019,1,2,13,0,75,N/A
2019,1,2,13,30,49,N/A
2019,1,2,14,0,72,N/A
2019,1,2,14,30,56,N/A
2019,1,2,15,0,44,N/A
2019,1,2,15,30,51,N/A
2019,1,2,16,0,26,N/A
2019,1,2,16,30,7,N/A
2019,1,2,17,0,0,N/A
2019,1,2,17,30,0,N/A
2019,1,2,18,0,0,N/A
2019,1,2,18,30,0,N/A
2019,1,2,19,0,0,N/A
2019,1,2,19,30,0,N/A
2019,1,2,20,0,0,N/A
2019,1,2,20,30,0,N/A
2019,1,2,21,0,0,N/A
2019,1,2,21,30,0,N/A
2019,1,2,22,0,0,N/A
2019,1,2,22,30,0,N/A
2019,1,2,23,0,0,N/A
